Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
139251,0.89850938,0.74537331,0.902301,0.7651953,-0.15692769,0.13331408,1639969777599,1639969777415,1639969776468,0.1742,2,1,1
139252,0.89850938,0.74537331,0.90212064,0.7651953,-0.15674733,0.13331408,1639969777694,1639969777465,1639969776468,0.1742,0,1,1
139253,0.89850938,0.74537331,0.9022008,0.7651953,-0.15682749,0.13331408,1639969777805,1639969777608,1639969776468,0.1742,0,1,1
139254,0.89850938,0.74537331,0.90212064,0.7651953,-0.15674733,0.13331408,1639969777899,1639969777691,1639969776468,0.1742,0,1,1
139255,0.89847944,0.74537331,0.90218076,0.7651953,-0.15680745,0.13328414,1639969778003,1639969777798,1639969776468,0.1742,2,1,1
139256,0.89847944,0.74537331,0.90209058,0.7651953,-0.15671727,0.13328414,1639969778104,1639969777880,1639969776468,0.1742,0,1,1
139257,0.89847944,0.74537331,0.90224088,0.7651953,-0.15686757,0.13328414,1639969778198,1639969777991,1639969776468,0.1742,0,1,1
139258,0.89847944,0.74537331,0.90224088,0.76541558,-0.15686757,0.13306387,1639969778238,1639969777991,1639969778118,0.1738,0,0,0
139259,0.89847944,0.74537331,0.90209058,0.76541558,-0.15671727,0.13306387,1639969778305,1639969778076,1639969778150,0.1738,0,0,1
139260,0.89847944,0.74537331,0.90209058,0.76845938,-0.15671727,0.13002007,1639969778471,1639969778076,1639969778351,0.1692,0,0,0
139261,0.89847944,0.74537331,0.90209058,0.76518529,-0.15671727,0.13329415,1639969778983,1639969778076,1639969778863,0.1742,0,0,0
139262,0.89847944,0.74537331,0.90229098,0.76518529,-0.15691767,0.13329415,1639969779399,1639969779193,1639969778863,0.1742,0,0,1
139263,0.89847944,0.74537331,0.90209058,0.76518529,-0.15671727,0.13329415,1639969779512,1639969779295,1639969778863,0.1742,0,0,1
139264,0.89818004,0.74537331,0.9020004,0.76518529,-0.15662709,0.13299475,1639969780094,1639969779895,1639969778863,0.1738,2,0,1
139265,0.8978507,0.74537331,0.90178998,0.76518529,-0.15641667,0.13266541,1639969780202,1639969779980,1639969778863,0.1734,2,0,1
139266,0.8978507,0.74537331,0.9018,0.76518529,-0.15642669,0.13266541,1639969780335,1639969780090,1639969778863,0.1734,0,0,1
139267,0.8978507,0.74537331,0.9017499,0.76518529,-0.15637659,0.13266541,1639969780403,1639969780205,1639969778863,0.1734,0,0,1
139268,0.89799042,0.74537331,0.9015996,0.76518529,-0.15622629,0.13280513,1639969780591,1639969780400,1639969778863,0.1736,2,0,1
139269,0.89799042,0.74537331,0.9017499,0.76518529,-0.15637659,0.13280513,1639969780698,1639969780499,1639969778863,0.1736,0,0,1
139270,0.89799042,0.74537331,0.9018,0.76518529,-0.15642669,0.13280513,1639969780792,1639969780565,1639969778863,0.1736,0,0,1
139271,0.89799042,0.74537331,0.9015996,0.76518529,-0.15622629,0.13280513,1639969781193,1639969780991,1639969778863,0.1736,0,0,1
139272,0.89799042,0.74537331,0.90178998,0.76518529,-0.15641667,0.13280513,1639969781412,1639969781209,1639969781087,0.1736,0,0,1
139273,0.8981002,0.74537331,0.9018,0.76518529,-0.15642669,0.13291491,1639969781500,1639969781310,1639969781087,0.1737,2,0,1
139274,0.89819002,0.74537331,0.9018,0.76518529,-0.15642669,0.13300473,1639969781606,1639969781401,1639969781087,0.1738,1,0,1
139275,0.89819002,0.74537331,0.9020004,0.76518529,-0.15662709,0.13300473,1639969781695,1639969781498,1639969781087,0.1738,0,0,1
139276,0.89819002,0.74537331,0.90199038,0.76518529,-0.15661707,0.13300473,1639969781795,1639969781599,1639969781087,0.1738,0,0,1
139277,0.8982,0.74537331,0.90181002,0.76518529,-0.15643671,0.13301471,1639969781908,1639969781701,1639969781087,0.1738,2,0,1
139278,0.89799042,0.74537331,0.90181002,0.76518529,-0.15643671,0.13280513,1639969782205,1639969781998,1639969781087,0.1736,1,0,1
139279,0.8979006,0.74537331,0.9018501,0.76518529,-0.15647679,0.13271531,1639969782298,1639969782075,1639969781087,0.1734,2,0,1
139280,0.89802036,0.74537331,0.9020004,0.76518529,-0.15662709,0.13283507,1639969782412,1639969782207,1639969781087,0.1736,2,0,1
139281,0.8979505,0.74537331,0.9020004,0.76518529,-0.15662709,0.13276521,1639969782495,1639969782300,1639969781087,0.1735,1,0,1
139282,0.89797046,0.74537331,0.9019503,0.76518529,-0.15657699,0.13278517,1639969782596,1639969782408,1639969781087,0.1735,2,0,1
139283,0.89796048,0.74537331,0.90196032,0.76518529,-0.15658701,0.13277519,1639969782705,1639969782508,1639969781087,0.1735,2,0,1
139284,0.8981002,0.74537331,0.9020004,0.76518529,-0.15662709,0.13291491,1639969782800,1639969782609,1639969781087,0.1737,2,0,1
139285,0.8981002,0.74538329,0.9020004,0.76518529,-0.15661711,0.13291491,1639969782834,1639969782609,1639969782713,0.1737,2,1,0
139286,0.89836966,0.74538329,0.90208056,0.76518529,-0.15669727,0.13318437,1639969782891,1639969782697,1639969782713,0.1741,2,1,1
139287,0.89865908,0.74538329,0.9025014,0.76518529,-0.15711811,0.13347379,1639969782997,1639969782803,1639969782713,0.1744,2,1,1
139288,0.89868902,0.74538329,0.90247134,0.76518529,-0.15708805,0.13350373,1639969783094,1639969782892,1639969782713,0.1745,2,1,1
139289,0.89883872,0.74538329,0.9025014,0.76518529,-0.15711811,0.13365343,1639969783205,1639969783008,1639969782713,0.1747,2,1,1
139290,0.89887864,0.74538329,0.9025014,0.76518529,-0.15711811,0.13369335,1639969783494,1639969783282,1639969782713,0.1747,1,1,1
139291,0.89880878,0.74538329,0.90242124,0.76518529,-0.15703795,0.13362349,1639969783701,1639969783505,1639969782713,0.1746,2,1,1
139292,0.8984495,0.74538329,0.90237114,0.76518529,-0.15698785,0.13326421,1639969784199,1639969783999,1639969782713,0.1742,2,1,1
139293,0.89841956,0.74538329,0.90237114,0.76518529,-0.15698785,0.13323427,1639969784304,1639969784106,1639969782713,0.1741,1,1,1
139294,0.89842954,0.74538329,0.90237114,0.76518529,-0.15698785,0.13324425,1639969784401,1639969784209,1639969782713,0.1741,1,1,1
139295,0.89842954,0.74538329,0.90236112,0.76518529,-0.15697783,0.13324425,1639969784506,1639969784257,1639969782713,0.1741,0,1,1
139296,0.89847944,0.74538329,0.90232104,0.76518529,-0.15693775,0.13329415,1639969784698,1639969784498,1639969784529,0.1742,2,1,1
139297,0.89846946,0.74538329,0.90209058,0.76518529,-0.15670729,0.13328417,1639969784996,1639969784800,1639969784529,0.1742,2,1,1
139298,0.89847944,0.74538329,0.90224088,0.76518529,-0.15685759,0.13329415,1639969785094,1639969784905,1639969784529,0.1742,2,1,1
139299,0.89846946,0.74538329,0.90209058,0.76518529,-0.15670729,0.13328417,1639969785211,1639969785013,1639969784529,0.1742,2,1,1
139300,0.89835968,0.74538329,0.90226092,0.76518529,-0.15687763,0.13317439,1639969785296,1639969785108,1639969784529,0.174,2,1,1
139301,0.89850938,0.74538329,0.90241122,0.76518529,-0.15702793,0.13332409,1639969785802,1639969785617,1639969784529,0.1742,2,1,1
