Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
176202,0.86962726,0.83574488,0.87330312,0.85675961,-0.03755824,0.01286765,1640057681874,1640057681656,1640057678208,0.015,1,1,1
176203,0.86962726,0.83574488,0.87318288,0.85675961,-0.037438,0.01286765,1640057682081,1640057681893,1640057681822,0.015,0,1,1
176204,0.86976698,0.83574488,0.87351354,0.85675961,-0.03776866,0.01300737,1640057682164,1640057681993,1640057681822,0.0152,2,1,1
176205,0.8697071,0.83574488,0.8736438,0.85675961,-0.03789892,0.01294749,1640057682297,1640057682097,1640057681822,0.0151,2,1,1
176206,0.8699566,0.83574488,0.8736438,0.85675961,-0.03789892,0.01319699,1640057682375,1640057682196,1640057681822,0.0154,1,1,1
176207,0.87004642,0.83574488,0.87363378,0.85675961,-0.0378889,0.01328681,1640057682472,1640057682283,1640057681822,0.0155,2,1,1
176208,0.87004642,0.83574488,0.87358368,0.85675961,-0.0378388,0.01328681,1640057682571,1640057682390,1640057681822,0.0155,0,1,1
176209,0.86992666,0.83574488,0.8735436,0.85675961,-0.03779872,0.01316705,1640057682677,1640057682486,1640057681822,0.0154,2,1,1
176210,0.86976698,0.83574488,0.87346344,0.85675961,-0.03771856,0.01300737,1640057682775,1640057682585,1640057681822,0.0152,2,1,1
176211,0.86976698,0.83574488,0.8733933,0.85675961,-0.03764842,0.01300737,1640057683076,1640057682888,1640057681822,0.0152,0,1,1
176212,0.86944762,0.83574488,0.87338328,0.85675961,-0.0376384,0.01268801,1640057683180,1640057682996,1640057681822,0.0148,2,1,1
176213,0.86939772,0.83574488,0.87337326,0.85675961,-0.03762838,0.01263811,1640057683271,1640057683097,1640057681822,0.0148,2,1,1
176214,0.86943764,0.83574488,0.8732931,0.85675961,-0.03754822,0.01267803,1640057683376,1640057683136,1640057681822,0.0148,2,1,1
176215,0.86957736,0.83574488,0.8734434,0.85675961,-0.03769852,0.01281775,1640057683481,1640057683298,1640057681822,0.015,2,1,1
176216,0.8698069,0.83574488,0.8734434,0.85675961,-0.03769852,0.01304729,1640057683568,1640057683392,1640057681822,0.0152,1,1,1
176217,0.86983684,0.83574488,0.87341334,0.85675961,-0.03766846,0.01307723,1640057683659,1640057683499,1640057681822,0.0153,2,1,1
176218,0.86986678,0.83574488,0.87341334,0.85675961,-0.03766846,0.01310717,1640057683785,1640057683557,1640057681822,0.0153,1,1,1
176219,0.8699067,0.83574488,0.87346344,0.85675961,-0.03771856,0.01314709,1640057683965,1640057683781,1640057683796,0.0153,2,1,1
176220,0.86996658,0.83574488,0.87346344,0.85675961,-0.03771856,0.01320697,1640057684069,1640057683871,1640057683796,0.0154,1,1,1
176221,0.8699067,0.83574488,0.87340332,0.85675961,-0.03765844,0.01314709,1640057684168,1640057683989,1640057683796,0.0153,2,1,1
176222,0.8699067,0.83574488,0.8736438,0.85675961,-0.03789892,0.01314709,1640057684479,1640057684296,1640057683796,0.0153,0,1,1
176223,0.87004642,0.83574488,0.8736438,0.85675961,-0.03789892,0.01328681,1640057684617,1640057684391,1640057683796,0.0155,1,1,1
176224,0.87014622,0.83574488,0.8736438,0.85675961,-0.03789892,0.01338661,1640057684686,1640057684496,1640057683796,0.0156,1,1,1
176225,0.87014622,0.83574488,0.87387426,0.85675961,-0.03812938,0.01338661,1640057684785,1640057684571,1640057683796,0.0156,0,1,1
176226,0.87037576,0.83574488,0.8740446,0.85675961,-0.03829972,0.01361615,1640057684885,1640057684690,1640057683796,0.0159,2,1,1
176227,0.87043564,0.83574488,0.8740446,0.85675961,-0.03829972,0.01367603,1640057684961,1640057684798,1640057683796,0.016,1,1,1
176228,0.87054542,0.83574488,0.87411474,0.85675961,-0.03836986,0.01378581,1640057685068,1640057684897,1640057683796,0.0161,2,1,1
176229,0.87061528,0.83574488,0.87411474,0.85675961,-0.03836986,0.01385567,1640057685288,1640057685098,1640057683796,0.0162,1,1,1
