Number,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay,timeServer,timeGate,timeBith,percentBonus,bayOrSellGate,bayOrSellBith,init
6802,1.10290976,1.10855663,1.10735028,1.11709463,0.00120635,-0.01418486,1635315366744,1635315366538,1635315365119,0.0011,1,0,1
6803,1.10277004,1.10855663,1.10735028,1.11709463,0.00120635,-0.01432458,1635315367604,1635315367319,1635315365119,0.0011,1,0,1
6804,1.1027401,1.10855663,1.10743044,1.11709463,0.00112618,-0.01435452,1635315369016,1635315368853,1635315365119,0.001,2,0,1
6805,1.10277004,1.10855663,1.10753064,1.11709463,0.00102599,-0.01432458,1635315369156,1635315368956,1635315365119,0.0009,2,0,1
6806,1.10277004,1.10855663,1.10742042,1.11709463,0.00113621,-0.01432458,1635315369252,1635315369053,1635315365119,0.001,0,0,1
6807,1.10277004,1.10855663,1.10738034,1.11709463,0.00117629,-0.01432458,1635315369696,1635315369460,1635315365119,0.0011,0,0,1
6808,1.10277004,1.10855663,1.1073603,1.11709463,0.00119632,-0.01432458,1635315369744,1635315369556,1635315365119,0.0011,0,0,1
6809,1.10281994,1.10855663,1.10738034,1.11709463,0.00117629,-0.01427468,1635315370475,1635315370250,1635315365119,0.0011,2,0,1
6810,1.10282992,1.10855663,1.10738034,1.11709463,0.00117629,-0.0142647,1635315370553,1635315370348,1635315365119,0.0011,1,0,1
6811,1.10286984,1.10855663,1.10738034,1.11709463,0.00117629,-0.01422478,1635315370652,1635315370425,1635315365119,0.0011,1,0,1
6812,1.10286984,1.10855663,1.10749056,1.11709463,0.00106607,-0.01422478,1635315370949,1635315370739,1635315365119,0.001,0,0,1
6813,1.10286984,1.10855663,1.10744046,1.11709463,0.00111617,-0.01422478,1635315371850,1635315371639,1635315365119,0.001,0,0,1
6814,1.10286984,1.10855663,1.10743044,1.11709463,0.00112618,-0.01422478,1635315371953,1635315371749,1635315365119,0.001,0,0,1
6815,1.10287084,1.10855663,1.1073603,1.11709463,0.00119632,-0.01422379,1635315372045,1635315371855,1635315365119,0.0011,2,0,1
6816,1.10291974,1.10855663,1.1073603,1.11709463,0.00119632,-0.01417489,1635315372158,1635315371936,1635315365119,0.0011,1,0,1
6817,1.10291974,1.10855663,1.10743044,1.11709463,0.00112618,-0.01417489,1635315372352,1635315372132,1635315365119,0.001,0,0,1
6818,1.10286984,1.10855663,1.10755068,1.11709463,0.00100595,-0.01422478,1635315372863,1635315372648,1635315365119,0.0009,2,0,1
6819,1.10287982,1.10855663,1.1073102,1.11709463,0.00124643,-0.01421481,1635315373454,1635315373219,1635315365119,0.0011,2,0,1
6820,1.1024407,1.1080575,1.10687934,1.11152767,0.00117816,-0.00908697,1635315435456,1635315435258,1635315435354,0.0011,2,0,0
6821,1.10237084,1.1080575,1.10704968,1.11709463,0.00100782,-0.01472379,1635315438443,1635315438226,1635315437935,0.0009,0,0,1
6822,1.10238082,1.1080575,1.10704968,1.11709463,0.00100782,-0.0147138,1635315438748,1635315438528,1635315438600,0.0009,1,0,1
6823,1.10238082,1.1080575,1.10699958,1.11709463,0.00105792,-0.0147138,1635315439053,1635315438858,1635315438768,0.001,0,0,1
6824,1.1023908,1.1080575,1.10699958,1.11709463,0.00105792,-0.01470383,1635315439147,1635315438916,1635315438768,0.001,1,0,1
6825,1.10238082,1.1080575,1.10699958,1.11709463,0.00105792,-0.0147138,1635315439278,1635315439047,1635315438768,0.001,1,0,1
6826,1.10221116,1.1080575,1.10697954,1.11709463,0.00107796,-0.01488347,1635315439433,1635315439244,1635315438768,0.001,2,0,1
6827,1.10217124,1.1080575,1.10697954,1.11709463,0.00107796,-0.01492339,1635315439541,1635315439330,1635315439339,0.001,1,0,1
6828,1.1024407,1.1080575,1.10697954,1.11709463,0.00107796,-0.01465393,1635315440244,1635315440043,1635315440047,0.001,1,0,1
6829,1.1024407,1.1080575,1.1069094,1.11709463,0.0011481,-0.01465393,1635315440359,1635315440137,1635315440213,0.001,0,0,1
6830,1.1024407,1.1080575,1.10697954,1.11709463,0.00107796,-0.01465393,1635315440452,1635315440243,1635315440213,0.001,0,0,1
6831,1.10223112,1.1080575,1.10697954,1.11709463,0.00107796,-0.0148635,1635315440859,1635315440657,1635315440716,0.001,1,0,1
6832,1.10227104,1.1080575,1.10697954,1.11709463,0.00107796,-0.01482359,1635315440948,1635315440738,1635315440716,0.001,1,0,1
6833,1.10248062,1.1080575,1.1069094,1.11709463,0.0011481,-0.01461401,1635315441645,1635315441449,1635315440920,0.001,2,0,1
6834,1.10235088,1.1080575,1.1069595,1.11709463,0.001098,-0.01474375,1635315449861,1635315449654,1635315440920,0.001,2,0,1
