Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
71302,0.84893872,0.82042175,0.85236132,0.8263917,-0.03193957,0.02254702,1639335683152,1639335682916,1639335682672,0.0273,1,1,1
71303,0.84883892,0.82042175,0.85236132,0.8263917,-0.03193957,0.02244722,1639335683456,1639335683228,1639335682672,0.0272,1,1,1
71304,0.8488489,0.82042175,0.8523513,0.8263917,-0.03192956,0.0224572,1639335683570,1639335683278,1639335683440,0.0272,2,1,1
71305,0.8489487,0.82042175,0.85268196,0.8263917,-0.03226021,0.022557,1639335686283,1639335686124,1639335685934,0.0273,2,1,1
71306,0.84898862,0.82042175,0.85268196,0.8263917,-0.03226021,0.02259692,1639335686454,1639335686213,1639335685934,0.0273,1,1,1
71307,0.84901856,0.82042175,0.85268196,0.8263917,-0.03226021,0.02262686,1639335686580,1639335686383,1639335685934,0.0274,1,1,1
71308,0.84902854,0.82042175,0.85268196,0.8263917,-0.03226021,0.02263684,1639335686674,1639335686468,1639335685934,0.0274,1,1,1
71309,0.84906846,0.82042175,0.85263186,0.8263917,-0.03221012,0.02267676,1639335687482,1639335687307,1639335686816,0.0274,2,1,1
71310,0.84885888,0.82042175,0.85248156,0.8263917,-0.03205981,0.02246718,1639335688954,1639335688725,1639335687763,0.0272,2,1,1
71311,0.84895868,0.82042175,0.85264188,0.8263917,-0.03222014,0.02256698,1639335689072,1639335688760,1639335687763,0.0273,2,1,1
71312,0.84885888,0.82042175,0.85258176,0.8263917,-0.03216001,0.02246718,1639335689160,1639335688925,1639335687763,0.0272,2,1,1
71313,0.8489487,0.82042175,0.85264188,0.8263917,-0.03222014,0.022557,1639335689263,1639335689017,1639335687763,0.0273,2,1,1
71314,0.8489487,0.82042175,0.85254168,0.8263917,-0.03211994,0.022557,1639335689352,1639335689089,1639335687763,0.0273,0,1,1
71315,0.84898862,0.82042175,0.85254168,0.8263917,-0.03211994,0.02259692,1639335689666,1639335689385,1639335687763,0.0273,1,1,1
71316,0.8489986,0.82042175,0.85254168,0.8263917,-0.03211994,0.0226069,1639335689754,1639335689467,1639335687763,0.0274,1,1,1
71317,0.84902854,0.82042175,0.85254168,0.8263917,-0.03211994,0.02263684,1639335690051,1639335689809,1639335687763,0.0274,1,1,1
71318,0.84903852,0.82042175,0.85254168,0.8263917,-0.03211994,0.02264682,1639335690174,1639335689915,1639335687763,0.0274,1,1,1
71319,0.84907844,0.82042175,0.85254168,0.8263917,-0.03211994,0.02268674,1639335690471,1639335690222,1639335690289,0.0275,1,1,1
71320,0.84908842,0.82042175,0.85254168,0.8263917,-0.03211994,0.02269672,1639335690565,1639335690320,1639335690289,0.0275,1,1,1
71321,0.84911836,0.82042175,0.85254168,0.8263917,-0.03211994,0.02272666,1639335690768,1639335690515,1639335690289,0.0275,1,1,1
71322,0.84912834,0.82042175,0.85254168,0.8263917,-0.03211994,0.02273664,1639335690867,1639335690560,1639335690289,0.0275,1,1,1
71323,0.84898862,0.82042175,0.85254168,0.8263917,-0.03211994,0.02259692,1639335692637,1639335692417,1639335691923,0.0273,1,1,1
71324,0.84907844,0.82042175,0.85262184,0.8263917,-0.03220009,0.02268674,1639335692863,1639335692625,1639335691923,0.0275,2,1,1
71325,0.84912834,0.82042175,0.85261182,0.8263917,-0.03219008,0.02273664,1639335693776,1639335693581,1639335693501,0.0275,2,1,1
71326,0.84911836,0.82042175,0.85261182,0.8263917,-0.03219008,0.02272666,1639335693884,1639335693716,1639335693501,0.0275,1,1,1
71327,0.84911836,0.82130021,0.85261182,0.8263917,-0.03131162,0.02272666,1639335694528,1639335693716,1639335694413,0.0275,1,1,0
71328,0.84901856,0.82130021,0.85261182,0.8263917,-0.03131162,0.02262686,1639335695165,1639335694889,1639335694417,0.0274,1,1,1
71329,0.84908842,0.82130021,0.85262184,0.8263917,-0.03132163,0.02269672,1639335695562,1639335695326,1639335695333,0.0275,2,1,1
71330,0.84902854,0.82130021,0.85262184,0.8263917,-0.03132163,0.02263684,1639335695660,1639335695364,1639335695333,0.0274,1,1,1
71331,0.84902854,0.82042175,0.85262184,0.8263917,-0.03220009,0.02263684,1639335696308,1639335695364,1639335696190,0.0274,1,1,0
71332,0.84902854,0.82042175,0.85262184,0.82640171,-0.03220009,0.02262683,1639335697121,1639335695364,1639335697003,0.0274,1,0,0
71333,0.84902854,0.82391562,0.85262184,0.82640171,-0.02870622,0.02262683,1639335697128,1639335695364,1639335697003,0.0274,1,1,0
71334,0.84902854,0.82042175,0.85262184,0.82640171,-0.03220009,0.02262683,1639335697171,1639335695364,1639335697053,0.0274,1,1,0
71335,0.84907844,0.82042175,0.85262184,0.82640171,-0.03220009,0.02267673,1639335697555,1639335697325,1639335697060,0.0274,1,1,1
71336,0.84907844,0.82391562,0.85262184,0.82640171,-0.02870622,0.02267673,1639335697965,1639335697325,1639335697851,0.0274,1,1,0
71337,0.84905848,0.82391562,0.85261182,0.82640171,-0.0286962,0.02265677,1639335698354,1639335698122,1639335697852,0.0274,2,1,1
71338,0.84906846,0.82391562,0.85261182,0.82640171,-0.0286962,0.02266675,1639335698463,1639335698157,1639335697852,0.0274,1,1,1
71339,0.84906846,0.82042175,0.85261182,0.82640171,-0.03219008,0.02266675,1639335698738,1639335698157,1639335698617,0.0274,1,1,0
71340,0.84918822,0.82042175,0.85268196,0.82640171,-0.03226021,0.02278651,1639335699077,1639335698912,1639335698662,0.0276,2,1,1
71341,0.8492481,0.82042175,0.85268196,0.82640171,-0.03226021,0.02284639,1639335699482,1639335699300,1639335698662,0.0276,1,1,1
71342,0.84926806,0.82042175,0.85268196,0.82640171,-0.03226021,0.02286635,1639335699861,1639335699596,1639335699508,0.0277,1,1,1
71343,0.84926806,0.82042175,0.85304268,0.82640171,-0.03262093,0.02286635,1639335702455,1639335702229,1639335701966,0.0277,0,1,1
71344,0.84933792,0.82042175,0.85298256,0.82640171,-0.03256082,0.02293621,1639335702558,1639335702329,1639335701966,0.0278,2,1,1
71345,0.84958742,0.82042175,0.85304268,0.82640171,-0.03262093,0.02318571,1639335702673,1639335702415,1639335701966,0.0281,2,1,1
71346,0.84947764,0.82042175,0.85304268,0.82640171,-0.03262093,0.02307593,1639335702859,1639335702625,1639335702707,0.0279,1,1,1
71347,0.84960738,0.82042175,0.85302264,0.82640171,-0.03260089,0.02320567,1639335702970,1639335702717,1639335702755,0.0281,2,1,1
71348,0.84962734,0.82042175,0.85304268,0.82640171,-0.03262093,0.02322563,1639335703173,1639335702926,1639335702755,0.0281,2,1,1
71349,0.84968722,0.82042175,0.8531028,0.82640171,-0.03268106,0.02328551,1639335705198,1639335704904,1639335702755,0.0282,2,1,1
71350,0.8496972,0.82042175,0.85348356,0.82640171,-0.03306182,0.02329549,1639335705292,1639335705100,1639335705172,0.0282,2,1,1
