Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
218951,0.9593774,0.90396529,0.96329274,0.92126014,-0.05932745,0.03811726,1640146613576,1640146613327,1640146610838,0.0414,2,0,1
218952,0.9593774,0.90396529,0.96324264,0.92126014,-0.05927735,0.03811726,1640146613679,1640146613427,1640146610838,0.0414,0,0,1
218953,0.9593774,0.90396529,0.9634731,0.92126014,-0.05950781,0.03811726,1640146613767,1640146613503,1640146610838,0.0414,0,0,1
218954,0.9594772,0.90396529,0.96348312,0.92126014,-0.05951783,0.03821706,1640146613969,1640146613716,1640146610838,0.0415,2,0,1
218955,0.95948718,0.90396529,0.96346308,0.92126014,-0.05949779,0.03822704,1640146614070,1640146613822,1640146610838,0.0415,2,0,1
218956,0.95950714,0.90396529,0.96346308,0.92126014,-0.05949779,0.038247,1640146614160,1640146613912,1640146610838,0.0415,1,0,1
218957,0.95953708,0.90396529,0.96346308,0.92126014,-0.05949779,0.03827694,1640146614274,1640146614024,1640146610838,0.0415,1,0,1
218958,0.95953708,0.90396529,0.96350316,0.92126014,-0.05953787,0.03827694,1640146614457,1640146614211,1640146610838,0.0415,0,0,1
218959,0.9594772,0.90396529,0.96343302,0.92126014,-0.05946773,0.03821706,1640146614568,1640146614328,1640146610838,0.0415,2,0,1
218960,0.95949716,0.90396529,0.963423,0.92126014,-0.05945771,0.03823702,1640146614664,1640146614413,1640146610838,0.0415,2,0,1
218961,0.95950714,0.90396529,0.9633729,0.92126014,-0.05940761,0.038247,1640146614964,1640146614727,1640146610838,0.0415,2,0,1
218962,0.9596768,0.90396529,0.96353322,0.92126014,-0.05956793,0.03841666,1640146614999,1640146614797,1640146610838,0.0417,2,0,1
218963,0.95973668,0.90396529,0.96368352,0.92126014,-0.05971823,0.03847654,1640146615276,1640146615020,1640146610838,0.0418,2,0,1
218964,0.95973668,0.90396529,0.96359334,0.92126014,-0.05962805,0.03847654,1640146615370,1640146615122,1640146610838,0.0418,0,0,1
218965,0.959577,0.90396529,0.96359334,0.92126014,-0.05962805,0.03831686,1640146615577,1640146615317,1640146610838,0.0416,1,0,1
218966,0.95959696,0.90396529,0.96359334,0.92126014,-0.05962805,0.03833682,1640146615662,1640146615425,1640146610838,0.0416,1,0,1
218967,0.95961692,0.90396529,0.96359334,0.92126014,-0.05962805,0.03835678,1640146615772,1640146615507,1640146610838,0.0416,1,0,1
218968,0.95965684,0.90396529,0.96359334,0.92126014,-0.05962805,0.0383967,1640146615963,1640146615717,1640146610838,0.0417,1,0,1
218969,0.95968678,0.90396529,0.96385386,0.92126014,-0.05988857,0.03842664,1640146616071,1640146615827,1640146610838,0.0417,2,0,1
218970,0.95986642,0.90396529,0.96385386,0.92126014,-0.05988857,0.03860628,1640146616178,1640146615924,1640146610838,0.0419,1,0,1
218971,0.95990634,0.90396529,0.96383382,0.92126014,-0.05986853,0.0386462,1640146616280,1640146616009,1640146610838,0.0419,2,0,1
218972,0.95990634,0.90396529,0.9640242,0.92126014,-0.06005891,0.0386462,1640146616369,1640146616116,1640146610838,0.0419,0,0,1
218973,0.95993628,0.90396529,0.96390396,0.92126014,-0.05993867,0.03867614,1640146616458,1640146616228,1640146610838,0.042,2,0,1
218974,0.95995624,0.90396529,0.96398412,0.92126014,-0.06001883,0.0386961,1640146616566,1640146616327,1640146610838,0.042,2,0,1
218975,0.9599762,0.90396529,0.96383382,0.92126014,-0.05986853,0.03871606,1640146616658,1640146616414,1640146610838,0.042,2,0,1
