Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
154202,0.86795062,0.79929878,0.87149952,0.80498498,-0.07220074,0.06296565,1639984270296,1639984270100,1639984266490,0.0782,2,1,1
154203,0.86795062,0.79929878,0.8714394,0.80498498,-0.07214062,0.06296565,1639984270403,1639984270196,1639984266490,0.0782,0,1,1
154204,0.86795062,0.79929878,0.87152958,0.80498498,-0.0722308,0.06296565,1639984270505,1639984270295,1639984266490,0.0782,0,1,1
154205,0.86795062,0.79929878,0.87151956,0.80498498,-0.07222078,0.06296565,1639984270711,1639984270490,1639984266490,0.0782,0,1,1
154206,0.86795062,0.79929878,0.8714394,0.80498498,-0.07214062,0.06296565,1639984270785,1639984270573,1639984266490,0.0782,0,1,1
154207,0.8679107,0.79929878,0.8714394,0.80498498,-0.07214062,0.06292573,1639984272294,1639984272090,1639984266490,0.0782,1,1,1
154208,0.87081488,0.79898932,0.87455562,0.80150063,-0.0755663,0.06931425,1639987160576,1639987160165,1639987160468,0.0865,0,0,0
154209,0.87081488,0.79898932,0.87451554,0.80150063,-0.07552622,0.06931425,1639987160793,1639987160593,1639987160468,0.0865,0,0,1
154210,0.87084482,0.79898932,0.8744955,0.80150063,-0.07550618,0.0693442,1639987166495,1639987166316,1639987164834,0.0865,2,0,1
154211,0.87084482,0.79898932,0.87448548,0.80150063,-0.07549616,0.0693442,1639987166595,1639987166409,1639987164834,0.0865,0,0,1
154212,0.8660644,0.79810088,0.86980614,0.80050939,-0.07170526,0.06555501,1639987518101,1639987516703,1639987517997,0.0819,2,0,0
154213,0.86615422,0.79810088,0.86984622,0.80050939,-0.07174534,0.06564483,1639987518597,1639987518407,1639987517997,0.082,2,0,1
154214,0.86620412,0.79810088,0.86984622,0.80050939,-0.07174534,0.06569473,1639987518703,1639987518501,1639987517997,0.0821,1,0,1
154215,0.86624404,0.79810088,0.86984622,0.80050939,-0.07174534,0.06573465,1639987518800,1639987518604,1639987517997,0.0821,1,0,1
154216,0.86624404,0.79810088,0.86991636,0.80050939,-0.07181548,0.06573465,1639987518900,1639987518704,1639987517997,0.0821,0,0,1
154217,0.8660644,0.79810088,0.8697861,0.80050939,-0.07168522,0.06555501,1639987519297,1639987519101,1639987517997,0.0819,2,0,1
154218,0.8660644,0.79810088,0.86977608,0.80050939,-0.07167521,0.06555501,1639987519502,1639987519248,1639987517997,0.0819,0,0,1
154219,0.8660644,0.79810088,0.8697861,0.80050939,-0.07168522,0.06555501,1639987519801,1639987519590,1639987517997,0.0819,0,0,1
154220,0.86607438,0.79810088,0.86977608,0.80050939,-0.07167521,0.06556499,1639987519920,1639987519678,1639987517997,0.0819,2,0,1
154221,0.86607438,0.79810088,0.869736,0.80050939,-0.07163512,0.06556499,1639987520503,1639987520282,1639987517997,0.0819,0,0,1
154222,0.86607438,0.79810088,0.86971596,0.80050939,-0.07161508,0.06556499,1639987520602,1639987520307,1639987517997,0.0819,0,0,1
154223,0.8660644,0.79810088,0.86955564,0.80050939,-0.07145477,0.06555501,1639987520890,1639987520706,1639987517997,0.0819,2,0,1
154224,0.8660644,0.79810088,0.8696358,0.80050939,-0.07153492,0.06555501,1639987520992,1639987520798,1639987517997,0.0819,0,0,1
154225,0.86595462,0.79810088,0.8696358,0.80050939,-0.07153492,0.06544523,1639987521200,1639987520997,1639987517997,0.0818,1,0,1
154226,0.86595462,0.79810088,0.86949552,0.80050939,-0.07139464,0.06544523,1639987521299,1639987521096,1639987517997,0.0818,0,0,1
154227,0.86592468,0.79810088,0.86942538,0.80050939,-0.0713245,0.06541529,1639987521397,1639987521192,1639987517997,0.0817,2,0,1
154228,0.86594464,0.79810088,0.86942538,0.80050939,-0.0713245,0.06543525,1639987521534,1639987521305,1639987517997,0.0817,1,0,1
154229,0.86589474,0.79810088,0.86942538,0.80050939,-0.0713245,0.06538535,1639987522502,1639987522306,1639987517997,0.0817,1,0,1
154230,0.8659147,0.79810088,0.86942538,0.80050939,-0.0713245,0.06540531,1639987522594,1639987522404,1639987517997,0.0817,1,0,1
154231,0.86589474,0.79810088,0.86937528,0.80050939,-0.0712744,0.06538535,1639987522809,1639987522607,1639987517997,0.0817,2,0,1
