Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
13402,0.85985684,0.83939848,0.86381418,0.84940043,-0.0244157,0.01045642,1639143403488,1639143403234,1639143403377,0.0123,2,1,1
13403,0.85985684,0.83939848,0.86381418,0.84939041,-0.0244157,0.01046643,1639143403523,1639143403234,1639143403412,0.0123,2,0,0
13404,0.85990674,0.83939848,0.86381418,0.84939041,-0.0244157,0.01051633,1639143403574,1639143403340,1639143403433,0.0124,1,0,1
13405,0.86020614,0.83939848,0.8639745,0.84939041,-0.02457602,0.01081573,1639143403690,1639143403441,1639143403475,0.0127,2,0,1
13406,0.86020614,0.83939848,0.8639745,0.8493804,-0.02457602,0.01082574,1639143403787,1639143403441,1639143403678,0.0127,2,0,0
13407,0.85999656,0.83939848,0.86404464,0.8493804,-0.02464616,0.01061616,1639143403794,1639143403545,1639143403678,0.0125,2,0,1
13408,0.85999656,0.84551775,0.86404464,0.8493804,-0.01852689,0.01061616,1639143403851,1639143403545,1639143403738,0.0125,2,1,0
13409,0.86015624,0.84551775,0.86405466,0.8493804,-0.01853691,0.01077584,1639143403872,1639143403648,1639143403738,0.0127,2,1,1
13410,0.86018618,0.84551775,0.8641248,0.8493804,-0.01860705,0.01080578,1639143403999,1639143403840,1639143403738,0.0127,2,1,1
13411,0.86018618,0.84551775,0.8641248,0.84939041,-0.01860705,0.01079577,1639143404045,1639143403840,1639143403935,0.0127,2,0,0
13412,0.86059536,0.84551775,0.86416488,0.84939041,-0.01864713,0.01120495,1639143404181,1639143403947,1639143403976,0.0132,2,0,1
13413,0.86019616,0.84551775,0.86445546,0.84939041,-0.01893771,0.01080575,1639143404288,1639143404046,1639143404100,0.0127,2,0,1
13414,0.86071512,0.84551775,0.86514684,0.84939041,-0.01962909,0.01132471,1639143404401,1639143404234,1639143404288,0.0133,2,0,1
13415,0.86089476,0.84551775,0.86470596,0.84939041,-0.01918821,0.01150435,1639143404507,1639143404347,1639143404311,0.0135,2,0,1
13416,0.86069516,0.84551775,0.8648262,0.84939041,-0.01930845,0.01130475,1639143404688,1639143404445,1639143404311,0.0133,2,0,1
13417,0.86068518,0.84551775,0.86479614,0.84939041,-0.01927839,0.01129477,1639143404768,1639143404545,1639143404608,0.0133,2,0,1
13418,0.86070514,0.84551775,0.8648262,0.84939041,-0.01930845,0.01131473,1639143404888,1639143404580,1639143404608,0.0133,2,0,1
13419,0.86073508,0.84551775,0.86484624,0.84939041,-0.01932849,0.01134467,1639143404988,1639143404748,1639143404870,0.0134,2,0,1
13420,0.86073508,0.83939848,0.86484624,0.84939041,-0.02544776,0.01134467,1639143405004,1639143404748,1639143404885,0.0134,2,1,0
13421,0.86081492,0.83939848,0.86484624,0.84939041,-0.02544776,0.01142451,1639143405088,1639143404838,1639143404945,0.0135,1,1,1
13422,0.86081492,0.84551775,0.86484624,0.84939041,-0.01932849,0.01142451,1639143405136,1639143404838,1639143405026,0.0135,1,1,0
13423,0.86100454,0.84551775,0.86494644,0.84939041,-0.01942869,0.01161413,1639143405163,1639143404949,1639143405026,0.0137,2,1,1
13424,0.86118418,0.84551775,0.86548752,0.84939041,-0.01996977,0.01179377,1639143405262,1639143405047,1639143405144,0.0139,2,1,1
13425,0.86139376,0.84551775,0.86516688,0.84939041,-0.01964913,0.01200335,1639143405376,1639143405147,1639143405256,0.0141,2,1,1
13426,0.86139376,0.83939848,0.86516688,0.84939041,-0.0257684,0.01200335,1639143405458,1639143405147,1639143405347,0.0141,2,1,0
13427,0.860775,0.83939848,0.86539734,0.84939041,-0.02599886,0.01138459,1639143405474,1639143405248,1639143405347,0.0134,2,1,1
13428,0.860775,0.83939848,0.86539734,0.8493804,-0.02599886,0.0113946,1639143405496,1639143405248,1639143405382,0.0134,2,0,0
13429,0.86146362,0.83939848,0.86539734,0.8493804,-0.02599886,0.01208322,1639143405568,1639143405346,1639143405450,0.0142,1,0,1
13430,0.86146362,0.84672563,0.86539734,0.8493804,-0.01867171,0.01208322,1639143405576,1639143405346,1639143405462,0.0142,1,1,0
13431,0.86149356,0.84272265,0.8656278,0.85054185,-0.02290515,0.01095171,1639143407914,1639143407649,1639143407802,0.0129,2,0,0
13432,0.86149356,0.83505609,0.8656278,0.85054185,-0.03057171,0.01095171,1639143407951,1639143407649,1639143407839,0.0129,2,1,0
13433,0.86149356,0.84268272,0.8656278,0.85054185,-0.02294508,0.01095171,1639143407953,1639143407649,1639143407845,0.0129,2,1,0
13434,0.86169316,0.84268272,0.86565786,0.85054185,-0.02297514,0.01115131,1639143408004,1639143407848,1639143407845,0.0131,2,1,1
13435,0.86169316,0.8426927,0.86565786,0.85054185,-0.02296516,0.01115131,1639143408042,1639143407848,1639143407931,0.0131,2,1,0
13436,0.86136382,0.8426927,0.86550756,0.85054185,-0.02281486,0.01082197,1639143408102,1639143407946,1639143407931,0.0127,2,1,1
13437,0.86136382,0.8426927,0.86545746,0.85054185,-0.02276476,0.01082197,1639143408277,1639143408047,1639143408163,0.0127,0,1,1
13438,0.86136382,0.8426927,0.86545746,0.85053184,-0.02276476,0.01083198,1639143408380,1639143408047,1639143408269,0.0127,0,0,0
13439,0.86116422,0.8426927,0.86560776,0.85053184,-0.02291506,0.01063238,1639143408390,1639143408138,1639143408269,0.0125,2,0,1
13440,0.8614736,0.8426927,0.86565786,0.85053184,-0.02296516,0.01094176,1639143408498,1639143408335,1639143408384,0.0129,2,0,1
13441,0.86063528,0.84774385,0.86423502,0.85030155,-0.01649117,0.01033373,1639143431864,1639143431545,1639143431754,0.0122,1,0,0
13442,0.8606253,0.84774385,0.86423502,0.85030155,-0.01649117,0.01032375,1639143431905,1639143431645,1639143431754,0.0121,1,0,1
13443,0.860775,0.84200391,0.86423502,0.84556564,-0.02223111,0.01520936,1639143432706,1639143432345,1639143432596,0.018,1,0,0
13444,0.86508636,0.84923124,0.86874402,0.8550675,-0.01951278,0.01001886,1639143564165,1639143563849,1639143564053,0.0117,1,0,0
13445,0.8651163,0.84923124,0.86881416,0.8550675,-0.01958292,0.0100488,1639143564362,1639143564119,1639143564234,0.0118,1,0,1
13446,0.8651163,0.84923124,0.86881416,0.85505749,-0.01958292,0.01005881,1639143564426,1639143564119,1639143564317,0.0118,1,0,0
