Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
293051,0.91625382,0.84959061,0.92007648,0.86386849,-0.07048587,0.05238533,1640565762705,1640565762491,1640565760159,0.0606,1,0,1
293052,0.91628376,0.84959061,0.92007648,0.86386849,-0.07048587,0.05241527,1640565763000,1640565762805,1640565760159,0.0607,1,0,1
293053,0.91629374,0.84959061,0.92007648,0.86386849,-0.07048587,0.05242525,1640565763103,1640565762845,1640565760159,0.0607,1,0,1
293054,0.91629374,0.84959061,0.92006646,0.86386849,-0.07047585,0.05242525,1640565763194,1640565762996,1640565760159,0.0607,0,0,1
293055,0.91618396,0.84959061,0.92006646,0.86386849,-0.07047585,0.05231547,1640565763403,1640565763209,1640565760159,0.0606,1,0,1
293056,0.91619394,0.84959061,0.92000634,0.86386849,-0.07041573,0.05232545,1640565763603,1640565763400,1640565760159,0.0606,2,0,1
293057,0.91619394,0.84959061,0.92006646,0.86386849,-0.07047585,0.05232545,1640565763689,1640565763471,1640565760159,0.0606,0,0,1
293058,0.91619394,0.84960059,0.92006646,0.86386849,-0.07046587,0.05232545,1640565763702,1640565763471,1640565763548,0.0606,0,1,0
293059,0.91619394,0.84960059,0.92006646,0.86385848,-0.07046587,0.05233546,1640565765015,1640565763471,1640565764898,0.0606,0,0,0
293060,0.91619394,0.84960059,0.91995624,0.86385848,-0.07035565,0.05233546,1640565765889,1640565765696,1640565764898,0.0606,0,0,1
293061,0.91624384,0.84960059,0.91992618,0.86385848,-0.07032559,0.05238537,1640565765992,1640565765793,1640565764898,0.0606,2,0,1
293062,0.91624384,0.84960059,0.92000634,0.86385848,-0.07040575,0.05238537,1640565767100,1640565766903,1640565764898,0.0606,0,0,1
293063,0.91627378,0.84960059,0.92000634,0.86385848,-0.07040575,0.0524153,1640565767207,1640565766977,1640565764898,0.0607,1,0,1
293064,0.91628376,0.84960059,0.91999632,0.86385848,-0.07039573,0.05242528,1640565767914,1640565767698,1640565764898,0.0607,2,0,1
293065,0.91628376,0.84960059,0.9199863,0.86385848,-0.07038571,0.05242528,1640565768002,1640565767803,1640565764898,0.0607,0,0,1
293066,0.91628376,0.84960059,0.91996626,0.86385848,-0.07036567,0.05242528,1640565768303,1640565768089,1640565764898,0.0607,0,0,1
293067,0.916164,0.84960059,0.91984602,0.86385848,-0.07024543,0.05230553,1640565768394,1640565768197,1640565764898,0.0605,2,0,1
293068,0.9160143,0.84960059,0.91984602,0.86385848,-0.07024543,0.05215583,1640565771010,1640565770785,1640565764898,0.0604,1,0,1
293069,0.916164,0.84960059,0.91984602,0.86385848,-0.07024543,0.05230553,1640565771090,1640565770903,1640565764898,0.0605,1,0,1
293070,0.9162139,0.84960059,0.91995624,0.86385848,-0.07035565,0.05235543,1640565771193,1640565770997,1640565764898,0.0606,2,0,1
293071,0.91627378,0.84960059,0.91995624,0.86385848,-0.07035565,0.0524153,1640565771289,1640565771109,1640565764898,0.0607,1,0,1
293072,0.916164,0.84960059,0.9198861,0.86385848,-0.07028551,0.05230553,1640565772290,1640565772089,1640565764898,0.0605,2,0,1
293073,0.91617398,0.84960059,0.9198861,0.86385848,-0.07028551,0.0523155,1640565772392,1640565772194,1640565764898,0.0606,1,0,1
293074,0.91617398,0.84960059,0.91987608,0.86385848,-0.07027549,0.0523155,1640565772495,1640565772270,1640565764898,0.0606,0,0,1
293075,0.916164,0.84960059,0.91987608,0.86385848,-0.07027549,0.05230553,1640565772897,1640565772706,1640565764898,0.0605,1,0,1
293076,0.91619394,0.84960059,0.91987608,0.86385848,-0.07027549,0.05233546,1640565773222,1640565773000,1640565764898,0.0606,1,0,1
293077,0.91595442,0.84960059,0.91984602,0.86385848,-0.07024543,0.05209595,1640565775588,1640565775409,1640565764898,0.0603,2,0,1
293078,0.91595442,0.84960059,0.91972578,0.86385848,-0.07012519,0.05209595,1640565775696,1640565775496,1640565764898,0.0603,0,0,1
293079,0.91595442,0.84960059,0.91970574,0.86385848,-0.07010515,0.05209595,1640565775796,1640565775609,1640565764898,0.0603,0,0,1
293080,0.91600432,0.84960059,0.91969572,0.86385848,-0.07009513,0.05214584,1640565776089,1640565775895,1640565764898,0.0604,2,0,1
293081,0.9160143,0.84960059,0.91969572,0.86385848,-0.07009513,0.05215583,1640565776199,1640565776007,1640565764898,0.0604,1,0,1
293082,0.91595442,0.84960059,0.91967568,0.86385848,-0.07007509,0.05209595,1640565776904,1640565776694,1640565764898,0.0603,2,0,1
293083,0.91595442,0.84960059,0.9196356,0.86385848,-0.07003501,0.05209595,1640565777004,1640565776800,1640565764898,0.0603,0,0,1
293084,0.91598436,0.84960059,0.9196857,0.86385848,-0.07008511,0.05212588,1640565777897,1640565777708,1640565764898,0.0603,2,0,1
293085,0.91600432,0.84960059,0.9196857,0.86385848,-0.07008511,0.05214584,1640565778596,1640565778366,1640565764898,0.0604,1,0,1
293086,0.91600432,0.84960059,0.919836,0.86385848,-0.07023541,0.05214584,1640565781922,1640565781693,1640565764898,0.0604,0,0,1
293087,0.9160642,0.84960059,0.919836,0.86385848,-0.07023541,0.05220572,1640565782018,1640565781791,1640565764898,0.0604,1,0,1
293088,0.91608416,0.84960059,0.919836,0.86385848,-0.07023541,0.05222568,1640565782096,1640565781835,1640565764898,0.0605,1,0,1
293089,0.91600432,0.84960059,0.919836,0.86385848,-0.07023541,0.05214584,1640565782401,1640565782200,1640565764898,0.0604,1,0,1
293090,0.9160143,0.84960059,0.919836,0.86385848,-0.07023541,0.05215583,1640565784905,1640565784706,1640565764898,0.0604,1,0,1
293091,0.91603426,0.84960059,0.919836,0.86385848,-0.07023541,0.05217578,1640565784994,1640565784794,1640565764898,0.0604,1,0,1
293092,0.91604424,0.84960059,0.919836,0.86385848,-0.07023541,0.05218577,1640565785399,1640565785160,1640565764898,0.0604,1,0,1
293093,0.91608416,0.84960059,0.919836,0.86385848,-0.07023541,0.05222568,1640565785805,1640565785587,1640565764898,0.0605,1,0,1
293094,0.91609414,0.84960059,0.919836,0.86385848,-0.07023541,0.05223566,1640565786105,1640565785867,1640565764898,0.0605,1,0,1
