Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
164251,0.83424816,0.74670098,0.8377722,0.77364585,-0.09107122,0.06060231,1640006214991,1640006214794,1640006207564,0.0783,2,0,1
164252,0.8340785,0.74670098,0.83783232,0.77364585,-0.09113134,0.06043265,1640006215108,1640006214889,1640006207564,0.0781,2,0,1
164253,0.83411842,0.74670098,0.83775216,0.77364585,-0.09105118,0.06047257,1640006215196,1640006214986,1640006207564,0.0782,2,0,1
164254,0.83425814,0.74670098,0.83773212,0.77364585,-0.09103114,0.06061229,1640006215283,1640006215091,1640006207564,0.0783,2,0,1
164255,0.8339787,0.74670098,0.83780226,0.77364585,-0.09110128,0.06033285,1640006215400,1640006215197,1640006207564,0.078,2,0,1
164256,0.83411842,0.74670098,0.83776218,0.77364585,-0.0910612,0.06047257,1640006215476,1640006215288,1640006207564,0.0782,2,0,1
164257,0.83411842,0.74670098,0.83768202,0.77364585,-0.09098104,0.06047257,1640006216186,1640006215994,1640006207564,0.0782,0,0,1
164258,0.83398868,0.74670098,0.83761188,0.77364585,-0.0909109,0.06034283,1640006216380,1640006216195,1640006207564,0.078,2,0,1
164259,0.83383898,0.74670098,0.83761188,0.77364585,-0.0909109,0.06019313,1640006216481,1640006216288,1640006207564,0.0778,1,0,1
164260,0.83383898,0.74670098,0.837672,0.77364585,-0.09097102,0.06019313,1640006216609,1640006216384,1640006207564,0.0778,0,0,1
164261,0.83389886,0.74670098,0.83769204,0.77364585,-0.09099106,0.06025301,1640006216704,1640006216488,1640006207564,0.0779,2,0,1
164262,0.83393878,0.74670098,0.83769204,0.77364585,-0.09099106,0.06029293,1640006216784,1640006216585,1640006207564,0.0779,1,0,1
164263,0.8338789,0.74670098,0.83769204,0.77364585,-0.09099106,0.06023305,1640006216875,1640006216698,1640006207564,0.0779,1,0,1
164264,0.8338789,0.74670098,0.83765196,0.77364585,-0.09095098,0.06023305,1640006217198,1640006216988,1640006207564,0.0779,0,0,1
164265,0.8338789,0.74670098,0.83759184,0.77364585,-0.09089086,0.06023305,1640006217384,1640006217185,1640006207564,0.0779,0,0,1
164266,0.83388888,0.74670098,0.83759184,0.77364585,-0.09089086,0.06024303,1640006217601,1640006217397,1640006207564,0.0779,1,0,1
164267,0.83395874,0.74670098,0.83760186,0.77364585,-0.09090088,0.06031289,1640006217692,1640006217498,1640006207564,0.078,2,0,1
164268,0.83395874,0.74670098,0.83764194,0.77364585,-0.09094096,0.06031289,1640006217794,1640006217551,1640006207564,0.078,0,0,1
164269,0.83395874,0.74670098,0.8377221,0.77364585,-0.09102112,0.06031289,1640006218181,1640006217991,1640006207564,0.078,0,0,1
164270,0.83415834,0.74670098,0.8378724,0.77364585,-0.09117142,0.06051249,1640006218281,1640006218093,1640006207564,0.0782,2,0,1
164271,0.83425814,0.74670098,0.8378724,0.77364585,-0.09117142,0.06061229,1640006218392,1640006218188,1640006207564,0.0783,1,0,1
164272,0.8342781,0.74670098,0.83786238,0.77364585,-0.0911614,0.06063225,1640006218483,1640006218297,1640006207564,0.0784,2,0,1
164273,0.83416832,0.74670098,0.83786238,0.77364585,-0.0911614,0.06052247,1640006218582,1640006218389,1640006207564,0.0782,1,0,1
164274,0.83420824,0.74670098,0.83786238,0.77364585,-0.0911614,0.06056239,1640006218792,1640006218590,1640006207564,0.0783,1,0,1
164275,0.83421822,0.74670098,0.83786238,0.77364585,-0.0911614,0.06057237,1640006218902,1640006218669,1640006207564,0.0783,1,0,1
164276,0.8342282,0.74670098,0.83786238,0.77364585,-0.0911614,0.06058235,1640006219307,1640006219082,1640006207564,0.0783,1,0,1
164277,0.83420824,0.74670098,0.83784234,0.77364585,-0.09114136,0.06056239,1640006219389,1640006219189,1640006207564,0.0783,2,0,1
164278,0.83420824,0.74670098,0.83776218,0.77364585,-0.0910612,0.06056239,1640006219495,1640006219292,1640006207564,0.0783,0,0,1
164279,0.8341284,0.74670098,0.83769204,0.77364585,-0.09099106,0.06048255,1640006219586,1640006219397,1640006207564,0.0782,2,0,1
164280,0.8341284,0.74670098,0.83765196,0.77364585,-0.09095098,0.06048255,1640006219690,1640006219496,1640006207564,0.0782,0,0,1
164281,0.83395874,0.74670098,0.83775216,0.77364585,-0.09105118,0.06031289,1640006219796,1640006219589,1640006207564,0.078,2,0,1
164282,0.83395874,0.74670098,0.83778222,0.77364585,-0.09108124,0.06031289,1640006219901,1640006219685,1640006207564,0.078,0,0,1
164283,0.83144378,0.74472445,0.83478624,0.77357576,-0.09006179,0.05786802,1640006420519,1640006417982,1640006420417,0.0748,0,1,0
