Number,buyGate,buyBith,sellGate,sellBith,diffSell,diffBuy,timeServer,timeGate,timeBith,percentBonus,buyOrSellGate,buyOrSellBith,init
78403,0.83371922,0.81691789,0.83713092,0.8230275,-0.02021303,0.01069172,1639385236656,1639385235859,1639385236532,0.013,0,1,0
78404,0.83371922,0.82011229,0.83713092,0.8230275,-0.01701863,0.01069172,1639385236802,1639385235859,1639385236657,0.013,0,1,0
78405,0.83371922,0.81691789,0.83713092,0.8230275,-0.02021303,0.01069172,1639385236904,1639385235859,1639385236768,0.013,0,1,0
78406,0.83371922,0.82003243,0.83713092,0.8230275,-0.01709849,0.01069172,1639385236906,1639385235859,1639385236771,0.013,0,1,0
78407,0.83371922,0.81691789,0.83713092,0.8230275,-0.02021303,0.01069172,1639385237815,1639385235859,1639385237693,0.013,0,1,0
78408,0.83371922,0.8199925,0.83713092,0.8230275,-0.01713842,0.01069172,1639385237829,1639385235859,1639385237697,0.013,0,1,0
78409,0.83374916,0.8199925,0.83713092,0.8230275,-0.01713842,0.01072166,1639385237967,1639385237723,1639385237832,0.013,1,1,1
78410,0.83374916,0.81691789,0.83713092,0.8230275,-0.02021303,0.01072166,1639385238016,1639385237723,1639385237856,0.013,1,1,0
78411,0.83374916,0.82002245,0.83713092,0.8230275,-0.01710848,0.01072166,1639385238019,1639385237723,1639385237873,0.013,1,1,0
78412,0.83374916,0.81691789,0.83713092,0.8230275,-0.02021303,0.01072166,1639385238137,1639385237723,1639385237985,0.013,1,1,0
78413,0.83375914,0.81691789,0.83713092,0.8230275,-0.02021303,0.01073164,1639385238160,1639385237923,1639385238016,0.013,1,1,1
78414,0.83376912,0.81691789,0.83713092,0.8230275,-0.02021303,0.01074162,1639385238262,1639385238005,1639385238114,0.0131,1,1,1
78415,0.83376912,0.81691789,0.83713092,0.82301749,-0.02021303,0.01075163,1639385238337,1639385238005,1639385238209,0.0131,1,0,0
78416,0.8337791,0.81691789,0.83713092,0.82301749,-0.02021303,0.01076161,1639385239254,1639385239026,1639385239080,0.0131,1,0,1
78417,0.8337791,0.81691789,0.83714094,0.82301749,-0.02022305,0.01076161,1639385239353,1639385239109,1639385239195,0.0131,0,0,1
78418,0.8337791,0.81691789,0.83734134,0.82301749,-0.02042345,0.01076161,1639385239550,1639385239321,1639385239195,0.0131,0,0,1
78419,0.8337791,0.81691789,0.83730126,0.82301749,-0.02038337,0.01076161,1639385239653,1639385239407,1639385239463,0.0131,0,0,1
78420,0.8337791,0.81691789,0.83713092,0.82301749,-0.02021303,0.01076161,1639385240671,1639385240410,1639385240504,0.0131,0,0,1
